382, 594
385, 595
386, 598
383, 602
377, 604
371, 604
364, 605
359, 605
352, 604
345, 603
340, 605
335, 609
332, 613
330, 616
330, 618
331, 619
332, 619
332, 619
332, 613
332, 608
331, 605
326, 602
321, 601
316, 601
312, 597
311, 592
309, 590
304, 589
301, 588
299, 586
300, 584
301, 582
306, 580
311, 578
317, 576
321, 573
323, 570
322, 565
320, 560
322, 556
324, 552
323, 546
322, 545
316, 544
313, 545
312, 544
312, 544
312, 544
312, 544
313, 545
315, 550
318, 555
320, 561
323, 566
327, 570
329, 575
329, 580
329, 586
329, 592
332, 597
336, 598
341, 598
346, 598
352, 601
357, 605
363, 606
369, 605
375, 603
382, 602
388, 600
394, 599
400, 598
406, 597
412, 594
416, 590
417, 585
416, 580
413, 575
410, 570
412, 562
415, 559
419, 558
423, 558
425, 560
425, 563
425, 563
425, 563
423, 560
421, 559
417, 558
412, 562
410, 566
410, 570
413, 575
415, 580
419, 585
422, 589
427, 592
432, 593
437, 592
441, 588
445, 584
448, 579
451, 574
453, 568
451, 562
448, 556
444, 551
439, 545
435, 539
432, 535
428, 529
424, 523
421, 519
418, 515
415, 510
413, 506
410, 502
407, 497
404, 491
401, 486
398, 480
396, 475
392, 469
388, 464
384, 459
380, 454
379, 449
378, 443
374, 439
371, 435
370, 432
370, 429
372, 427
375, 427
378, 430
380, 435
383, 441
385, 448
387, 452
389, 457
392, 464
394, 469
396, 473
400, 481
402, 485
404, 490
406, 497
409, 504
414, 509
421, 511
428, 510
434, 508
440, 506
446, 502
452, 498
457, 493
462, 489
467, 485
472, 480
477, 476
484, 471
488, 467
492, 462
495, 457
497, 452
500, 448
505, 442
510, 440
516, 439
521, 440
527, 442
532, 445
537, 449
543, 456
547, 461
551, 466
555, 471
558, 477
561, 482
565, 488
568, 494
572, 499
576, 504
581, 509
586, 515
590, 520
595, 525
599, 531
603, 537
606, 541
610, 547
613, 550
619, 556
622, 560
625, 564
629, 567
634, 573
637, 577
640, 581
645, 587
648, 591
651, 595
656, 601
660, 604
664, 608
670, 613
675, 617
679, 621
683, 627
685, 633
683, 639
679, 644
673, 648
665, 649
658, 648
652, 645
646, 640
642, 637
637, 635
632, 634
627, 635
622, 637
616, 642
610, 647
606, 651
602, 655
599, 659
596, 663
593, 668
589, 671
586, 675
581, 678
577, 682
573, 685
569, 689
565, 692
562, 697
559, 701
557, 706
556, 711
555, 718
557, 724
561, 730
566, 735
571, 737
577, 740
583, 741
588, 742
595, 743
610, 745
615, 749
618, 754
619, 758
621, 763
624, 771
626, 775
632, 780
