0,2.02355, 0.92151
1,-0.56098, 3.72976
2,1.48942, 6.77071
3,8.74292, 3.42769
4,8.52268, 6.85228
5,7.21739, 9.8314
6,4.39007, 5.24993
7,4.65185, 2.7982
8,3.4422, 9.43193
0,1.75705, 0.817862
1,-0.56098, 3.72976
2,1.14701, 6.91116
3,8.27992, 3.45137
4,8.47678, 6.83054
5,7.21739, 9.8314
6,4.16707, 5.41057
7,4.33541, 3.1203
8,3.36393, 9.61139
0,2.03826, 0.823703
1,0.125063, 4.13011
2,2.4016, 7.01086
3,9.34128, 1.7966
4,10.2019, 4.78423
5,9.3891, 7.81692
6,5.05047, 4.60148
7,5.08265, 2.04715
8,5.36967, 8.87035
0,1.90415, 1.04794
1,0.125063, 4.13011
2,2.24508, 7.15747
3,8.92469, 1.69517
4,10.1929, 4.65823
5,9.38905, 7.78624
6,5.10193, 5.04338
7,4.97011, 2.99674
8,5.37006, 9.05512
0,1.90288, 1.04401
1,0.125063, 4.13011
2,2.23417, 7.16278
3,8.91912, 1.70179
4,10.1895, 4.65859
5,9.38905, 7.78624
6,5.07532, 5.05088
7,4.96562, 2.99742
8,5.36896, 9.05835
0,1.90226, 1.06567
1,0.125063, 4.13011
2,2.31087, 7.12703
3,8.95327, 1.65408
4,10.2102, 4.65579
5,9.38905, 7.78624
6,5.21019, 5.05118
7,5.06207, 2.93423
8,5.37817, 9.02462
0,2.21194, 1.2873
1,0.125063, 4.13011
2,2.42271, 7.07979
3,9.12192, 1.54942
4,10.2723, 4.65514
5,9.38905, 7.78624
6,5.37585, 5.26771
7,5.32568, 3.34801
8,5.37652, 9.09792
0,1.36596, 1.1569
1,0.713709, 4.39005
2,3.26301, 7.12542
3,7.45047, -0.543055
4,9.85808, 1.6928
5,10.1367, 4.98788
6,5.51896, 4.2654
7,4.63823, 2.75379
8,6.87603, 7.86325
0,1.35888, 1.16061
1,0.713709, 4.39005
2,3.29525, 7.09739
3,7.45559, -0.571784
4,9.8663, 1.68776
5,10.1367, 4.98788
6,5.57869, 4.2463
7,4.63425, 2.69882
8,6.8721, 7.83965
0,1.33923, 1.13434
1,0.713709, 4.39005
2,3.26089, 7.12037
3,7.45222, -0.544506
4,9.85245, 1.69574
5,10.1367, 4.98788
6,5.46548, 4.26874
