0, 0, 0
0, 0, 0
0.114242, -9.19355e-005, 0.000728937
0.230507, -0.000131828, 0.00147056
0.336657, 9.31825e-005, 0.00214898
0.440791, 0.000184445, 0.00281306
0.565137, 0.000614966, 0.00360779
0.714766, 0.000963759, 0.004562
0.865405, 0.0014586, 0.00552266
0.979646, 0.00199958, 0.00625162
1.11814, 0.00295534, 0.0071368
1.27959, 0.00400622, 0.00140073
1.46386, 0.00524928, 0.00935118
1.66605, 0.00698114, 0.0106414
1.86816, 0.00924585, 0.0103076
2.0704, 0.0116252, 0.0132269
2.17142, 0.0130098, 0.012247
2.27258, 0.0143307, 0.0145191
2.47366, 0.0173658, 0.0141789
2.57482, 0.0188821, 0.016451
2.6759, 0.0206108, 0.0170972
2.87799, 0.0240362, 0.0167624
2.97914, 0.0258138, 0.0190345
3.08014, 0.0277849, 0.0180546
3.18122, 0.0296767, 0.0187007
3.28237, 0.0316504, 0.0209728
3.38344, 0.0338361, 0.021619
3.48444, 0.0360683, 0.0206391
3.68665, 0.040537, 0.0235583
3.78764, 0.042965, 0.0225785
3.88878, 0.0453309, 0.0248506
4.09083, 0.050467, 0.0245168
4.19197, 0.053031, 0.0267889
4.29303, 0.0558045, 0.0274351
4.39401, 0.058624, 0.0264552
4.49514, 0.061382, 0.0287273
4.59619, 0.0643514, 0.0293734
4.79823, 0.0702575, 0.0290386
4.89935, 0.0732768, 0.0313107
5.00032, 0.0764876, 0.0303309
5.20148, 0.0827378, 0.0332426
5.30244, 0.0861437, 0.0322627
5.40348, 0.0894713, 0.0329089
5.50459, 0.0928819, 0.035181
5.60555, 0.0964835, 0.0342011
5.70658, 0.100007, 0.0348472
5.80769, 0.103614, 0.0371194
6.00967, 0.111082, 0.0367845
6.11077, 0.114887, 0.0390567
6.31272, 0.122893, 0.0387229
6.41396, 0.126934, 0.0444236
6.51541, 0.131616, 0.0553555
6.61658, 0.13734, 0.0611445
6.71741, 0.143561, 0.0600764
6.81833, 0.149697, 0.0607226
7.01915, 0.162038, 0.0620085
7.12007, 0.168369, 0.0626547
7.22097, 0.174764, 0.0633009
7.32187, 0.181226, 0.0639471
7.52367, 0.194278, 0.0652395
